PULocationID,trips,total_fare,total_tips,total_revenue,sum_distance,avg_fare,avg_distance
219,2690,142555.42,10236.58,165746.43,30290.62,52.99457992565056,11.260453531598513
220,2617,89815.32,824.63,101906.13,20977.04,34.319954145968666,8.015682078716088
221,188,6940.4800000000005,151.07,9219.09,1536.01,36.91744680851064,8.170265957446809
222,3425,118788.78,164.28,127113.26,28778.67,34.68285547445255,8.402531386861313
223,8454,285623.83,15616.27,355760.25,48951.77,33.78564348237521,5.79036787319612
224,26427,534225.52,28679.15,721000.69,76647.87,20.215140575926135,2.9003621296401407
225,13692,452699.19,4118.39,509095.07,77039.65,33.06304338299737,5.626617732982763
226,19984,656039.72,38058.02,791130.06,102586.6,32.8282485988791,5.13343674939952
227,2387,73932.58,344.0,82208.39,15307.34,30.973012149141184,6.412794302471722
228,5469,187061.6,2072.11,214732.51,37340.53,34.20398610349241,6.827670506491132
229,166628,2698733.19,418330.07,4074497.66,364813.98,16.196156648342416,2.189391818901985
230,297306,6059460.3,938556.93,8924065.32,848184.6,20.381224395067708,2.8529010514419486
231,139690,3016194.01,350425.04,4201948.81,458837.82,21.592053905075524,3.2846862338034217
232,32487,798485.83,28634.63,1009953.58,130146.71,24.578626219718654,4.006116600486348
233,108198,1976364.83,260424.8,2897415.66,284857.46,18.266186343555333,2.6327423797112703
234,273350,4623929.03,689373.69,6944560.27,587421.16,16.915782074263767,2.1489707700749956
235,3810,124362.08,164.74,135679.56,29235.1,32.640965879265096,7.6732545931758525
236,427054,6325023.45,1103861.11,9636658.38,855166.85,14.810828255911431,2.0024794288310144
237,457903,6384811.85,1195742.12,10011137.58,826192.15,13.943590345553533,1.8042951236397229
238,200710,3281893.3,465141.38,4759246.99,487309.24,16.351418962682477,2.42792705894076
239,271725,4304908.49,680316.31,6424953.15,612983.81,15.842887073327814,2.255897727481829
240,436,16620.85,56.86,18156.32,4252.02,38.12121559633027,9.752339449541285
241,2802,97615.6,221.92,107489.98,23662.31,34.8378301213419,8.444793004996432
242,2494,83776.44,293.2,93802.51,20445.14,33.59119486768244,8.197730553327986
243,11694,373583.92,4744.74,434690.63,81266.63,31.946632461091156,6.949429622028391
244,26969,796202.01,17110.82,937553.95,165119.66,29.52285995031332,6.1225725833364235
245,25,1260.84,3.28,1519.85,323.51,50.4336,12.9404
246,184786,3548465.54,467783.3,5139489.05,462016.91,19.203108135897743,2.5002809195501823
247,4638,138063.51,682.81,154875.26,27660.96,29.767897800776197,5.96398447606727
248,2533,84820.77,489.06,95024.57,18967.51,33.48628898539282,7.488160284247927
249,231110,4137234.91,534468.26,6028754.03,532005.36,17.901583272034962,2.3019573363333476
250,2438,78849.77,184.95,88880.12,18791.68,32.34198933552092,7.707826086956522
251,62,3168.72,46.3,4068.41,688.4,51.10838709677419,11.103225806451613
252,937,32635.65,482.27,38211.18,7518.94,34.829935965848456,8.024482390608323
253,49,1953.26,69.78,2281.93,372.72,39.86244897959184,7.606530612244899
254,4181,154118.05,255.54,169535.59,41045.47,36.86152834250179,9.817141832097585
255,25480,778265.88,17407.13,930751.1,113271.38,30.544186813186812,4.445501569858713
256,18963,585570.72,13739.04,690835.85,86661.36,30.879645625692135,4.570023730422402
257,1828,63832.32,928.7,76518.62,12568.71,34.91921225382932,6.87566192560175
258,3365,107466.95,293.39,121283.25,22223.53,31.93668647845468,6.6043179791976225
259,2387,94686.78,200.35999999999999,103433.56999999999,25555.25,39.66769166317553,10.706011730205278
260,7543,216311.73,9772.67,258331.26,35567.45,28.67714834946308,4.715292324009015
261,42087,1082689.28,128007.2,1473764.42,180157.4,25.72502863116877,4.28059495806306
262,152280,2622939.95,340151.68,3780002.59,402529.41,17.22445462306278,2.6433504728132386
263,204337,3246579.9,440569.33,4774522.92,496556.84,15.888360404625692,2.4300877472019264
264,11711,249466.13,46985.18,366442.09,44556.61,21.301864059431303,3.8046802151823074
265,2020,152640.98,15379.74,177993.02,16103.0,75.56484158415842,7.971782178217822
